valid_time,sshf,u10,v10,latitude,longitude,classification_hf,wind_dir,dir_bin
2023-01-07 02:00:00,24896.0,2.6328125,9.0625,54.75,6.5,stable,196.19949196092978,8
2023-01-07 03:00:00,28656.0,3.3710938,9.359375,54.75,6.5,stable,199.80819067173522,8
2023-01-07 04:00:00,41792.0,5.9375,9.265625,54.75,6.5,stable,212.6521322976286,8
2023-01-07 05:00:00,71424.0,6.640625,9.0078125,54.75,6.5,stable,216.39791013889175,8
2023-01-07 06:00:00,84288.0,5.9296875,9.359375,54.75,6.5,stable,212.3565451104555,8
2023-01-07 07:00:00,102208.0,5.3984375,10.0859375,54.75,6.5,stable,208.1576491212388,8
2023-01-07 08:00:00,96768.0,5.0039062,10.546875,54.75,6.5,stable,205.38174106607383,8
2023-01-07 09:00:00,83264.0,4.1640625,10.6796875,54.75,6.5,stable,201.30105405201078,8
2023-01-07 10:00:00,68544.0,3.3613281,11.0234375,54.75,6.5,stable,196.95780487642503,8
2023-01-07 11:00:00,60992.0,3.0175781,11.1796875,54.75,6.5,stable,195.1050966928099,8
2023-01-07 12:00:00,64736.0,1.8076172,11.328125,54.75,6.5,stable,189.06619535607697,7
2023-01-07 13:00:00,70976.0,0.47973633,11.8515625,54.75,6.5,stable,182.3179955435066,7
2023-01-07 14:00:00,80128.0,-0.12512207,12.328125,54.75,6.5,stable,179.41850683742132,7
2023-01-07 15:00:00,87232.0,-0.6245117,12.25,54.75,6.5,stable,177.08155643385726,7
2023-01-07 16:00:00,91456.0,-0.76123047,12.21875,54.75,6.5,stable,176.43506938114135,7
2023-01-07 17:00:00,93056.0,-0.6230469,12.5,54.75,6.5,stable,177.14652486930007,7
2023-01-07 18:00:00,87872.0,-0.10827637,12.6875,54.75,6.5,stable,179.5110440654357,7
2023-01-07 19:00:00,80256.0,-0.032714844,12.6328125,54.75,6.5,stable,179.85162304131126,7
2023-01-07 20:00:00,71488.0,0.20690918,12.6640625,54.75,6.5,stable,180.93603202495711,7
2023-01-07 21:00:00,71872.0,0.75390625,12.6875,54.75,6.5,stable,183.40058437077658,7
2023-01-07 22:00:00,82624.0,1.7763672,12.6796875,54.75,6.5,stable,187.9749770628335,7
2023-01-07 23:00:00,96640.0,2.6269531,12.6953125,54.75,6.5,stable,191.69082645594702,7
2023-01-08 00:00:00,98304.0,2.9785156,12.9765625,54.75,6.5,stable,192.9272076952353,7
