,lease_5,lease_1,lease_6,lease_2,lease_3,lease_4,lease_7,Full Yield [GWh/yr],External wake efficiency [%]
0,False,True,True,False,True,True,False,4277.993684093693,0.93169320929859
0,False,True,True,False,True,False,True,4326.279974273606,0.942209355881536
0,False,True,True,False,True,False,False,4340.006411668363,0.9451988012741527
0,False,True,True,False,False,True,True,4398.751153768281,0.9579926671229952
0,False,True,True,False,False,True,False,4401.987337851058,0.9586974673065892
0,False,True,True,False,False,False,True,4450.27362803097,0.9692136138895349
0,False,True,True,False,False,False,False,4464.000065425731,0.9722030592821524
0,False,True,False,True,True,True,True,4275.35297461167,0.9311180959922569
0,False,True,False,True,True,True,False,4278.589158694448,0.9318228961758511
0,False,True,False,True,True,False,True,4326.87544887436,0.9423390427587969
0,False,True,False,True,True,False,False,4340.601886269118,0.9453284881514139
0,False,True,False,True,False,True,True,4395.893486295013,0.9573703030953957
0,False,True,False,True,False,True,False,4399.129670377788,0.9580751032789894
0,False,True,False,True,False,False,True,4447.415960557703,0.9685912498619358
0,False,True,False,True,False,False,False,4461.142397952458,0.9715806952545522
0,False,True,False,False,True,True,True,4277.940269593912,0.9316815762924662
0,False,True,False,False,True,True,False,4281.1764536766905,0.9323863764760607
0,False,True,False,False,True,False,True,4329.462743856601,0.9429025230590062
0,False,True,False,False,True,False,False,4343.1891812513595,0.9458919684516233
0,False,True,False,False,False,True,True,4406.7694410120075,0.959738949218493
0,False,True,False,False,False,True,False,4410.005625094785,0.9604437494020871
0,False,True,False,False,False,False,True,4458.291915274698,0.9709598959850332
0,False,True,False,False,False,False,False,4472.018352669455,0.9739493413776499
0,False,False,True,True,True,True,True,4285.522954966455,0.9333329897800817
0,False,False,True,True,True,True,False,4288.7591390492325,0.934037789963676
0,False,False,True,True,True,False,True,4337.045429229145,0.9445539365466218
0,False,False,True,True,True,False,False,4350.7718666239025,0.9475433819392386
0,False,False,True,True,False,True,True,4404.400055870462,0.9592229269403867
0,False,False,True,True,False,True,False,4407.636239953242,0.9599277271239811
0,False,False,True,True,False,False,True,4455.9225301331535,0.970443873706927
0,False,False,True,True,False,False,False,4469.648967527913,0.9734333190995442
0,False,False,True,False,True,True,True,4288.038245558092,0.9338807884297978
0,False,False,True,False,True,True,False,4291.274429640871,0.9345855886133924
0,False,False,True,False,True,False,True,4339.560719820785,0.9451017351963387
0,False,False,True,False,True,False,False,4353.287157215539,0.9480911805889546
0,False,False,True,False,False,True,True,4414.3057948676715,0.9613802722845602
0,False,False,True,False,False,True,False,4417.5419789504485,0.9620850724681546
0,False,False,True,False,False,False,True,4465.828269130364,0.9726012190511008
0,False,False,True,False,False,False,False,4479.5547065251185,0.9755906644437171
0,False,False,False,True,True,True,True,4292.307930394695,0.9348106720766344
0,False,False,False,True,True,True,False,4295.544114477474,0.9355154722602289
0,False,False,False,True,True,False,True,4343.830404657386,0.9460316188431745
0,False,False,False,True,True,False,False,4357.556842052143,0.9490210642357912
0,False,False,False,True,False,True,True,4416.32143723377,0.9618192538360878
0,False,False,False,True,False,True,False,4419.557621316549,0.9625240540196822
0,False,False,False,True,False,False,True,4467.843911496461,0.9730402006026281
0,False,False,False,True,False,False,False,4481.57034889122,0.9760296459952453
0,False,False,False,False,True,True,True,4294.895225376936,0.9353741523768434
0,False,False,False,False,True,True,False,4298.131409459713,0.9360789525604376
0,False,False,False,False,True,False,True,4346.4176996396245,0.9465950991433832
0,False,False,False,False,True,False,False,4360.144137034385,0.9495845445360006
0,False,False,False,False,False,True,True,4427.197391950767,0.9641878999591857
0,False,False,False,False,False,True,False,4430.433576033545,0.9648927001427801
0,False,False,False,False,False,False,True,4478.719866213458,0.9754088467257258
0,False,False,False,False,False,False,False,4492.446303608216,0.9783982921183428
