turbineName,grossAnnualYield_MWh_per_year,blockageOnAnnualYield_MWh_per_year,internalWakesOnAnnualYield_MWh_per_year,hysteresisAdjustmentOnAnnualYield_MWh_per_year,largeWindFarmCorrectionOnAnnualYield_MWh_per_year,neighborsWakesOnAnnualYield_MWh_per_year,fullAnnualYield_MWh_per_year,freeMeanWindSpeed_m_per_s,fullMeanWindSpeed_m_per_s,ambientMeanTurbulenceIntensity_percentage,fullMeanTurbulenceIntensity_percentage,airDensityAtHubHeight_kg_per_m3,farm_name,easting,northing,turbineInteractionEfficiency
T11,14655.118623325987,13934.109404005849,11825.645574788574,11825.645574788574,11825.645574788574,11609.480035287377,11609.480035287377,7.343394754759646,6.503600274152914,7.499999999999998,8.549836207728768,1.225,Farm,101307.9995,101845.5047,0.7921791923819037
T12,14655.118623325987,13940.244281355523,11967.435247436944,11967.435247436944,11967.435247436944,11632.395739526371,11632.395739526371,7.343394754759646,6.514173152369924,7.499999999999998,8.542166228008227,1.225,Farm,98545.38632,101727.3917,0.7937428579398557
T13,14655.118623325987,13928.696498133344,11895.981493975289,11895.981493975289,11895.981493975289,11742.935820547045,11742.935820547045,7.343394754759646,6.542720171353093,7.499999999999998,8.495928891661446,1.225,Farm,102977.8019,102379.4845,0.8012856205651088
T14,14655.118623325987,13959.176026572726,13467.306009329557,13467.306009329557,13467.306009329557,12522.519789973307,12522.519789973307,7.343394754759646,6.767632340525072,7.499999999999998,8.223178113608025,1.225,Farm,96082.20695,103160.6269,0.8544809572569201
T15,14655.118623325987,13931.290564803552,11722.821963564964,11722.821963564964,11722.821963564964,11493.676743216021,11493.676743216021,7.343394754759646,6.468050373373445,7.499999999999998,8.596786623143258,1.225,Farm,100293.8949,101282.496,0.7842772916844207
T16,14655.118623325987,13942.919938008074,12344.883569946534,12344.883569946534,12344.883569946534,11923.978981332075,11923.978981332075,7.343394754759646,6.593703933572232,7.499999999999998,8.444913285518725,1.225,Farm,97362.33879,101819.4804,0.813639199231942
T17,14655.118623325987,13932.106868483374,11681.929640195733,11681.929640195733,11681.929640195733,11490.906829185042,11490.906829185042,7.343394754759646,6.463673141757859,7.499999999999998,8.59339158305509,1.225,Farm,102165.4306,101492.8084,0.7840882850921048
T18,14655.118623325987,13935.309475180695,11791.150646988699,11791.150646988699,11791.150646988699,11491.33472571256,11491.33472571256,7.343394754759646,6.46621108438863,7.499999999999998,8.601790276668536,1.225,Farm,99102.36402,100981.7182,0.7841174828446797
T19,14655.118623325987,13931.105926942579,11744.49794978622,11744.49794978622,11744.49794978622,11632.194875895344,11632.194875895344,7.343394754759646,6.51355164514763,7.499999999999998,8.543627683086527,1.225,Farm,103911.2284,102382.4328,0.7937291519006082
T20,14655.118623325987,13946.436420017877,12757.279866907618,12757.279866907618,12757.279866907618,12005.281051950165,12005.281051950165,7.343394754759646,6.620533866238844,7.499999999999998,8.41883604374488,1.225,Farm,96176.3784,102229.9422,0.8191868902952326
T21,14655.118623325987,13934.09064231148,11623.970515165496,11623.970515165496,11623.970515165496,11416.677644564426,11416.677644564426,7.343394754759646,6.443919723038373,7.499999999999998,8.623881853237867,1.225,Farm,101099.7683,100801.0729,0.7790232162565331
T22,14655.118623325987,13943.683885749548,11965.561823048718,11965.561823048718,11965.561823048718,11652.176690904469,11652.176690904469,7.343394754759646,6.513963820613857,7.499999999999998,8.547000105468099,1.225,Farm,97806.29082,100985.4174,0.795092621929252
T23,14655.118623325987,13933.977735282926,11530.677589957055,11530.677589957055,11530.677589957055,11385.53433351639,11385.53433351639,7.343394754759646,6.4358122140757645,7.499999999999998,8.638532464441045,1.225,Farm,103103.433,101349.5098,0.7768981354674588
T25,14655.118623325987,13935.610504226484,11749.54184705014,11749.54184705014,11749.54184705014,11506.244453573481,11506.244453573481,7.343394754759646,6.4680296668661095,7.499999999999998,8.594939386945928,1.225,Farm,99835.50973,100368.0236,0.7851348562446595
T26,14655.118623325987,13928.887292395015,12086.175149574816,12086.175149574816,12086.175149574816,11982.258218098399,11982.258218098399,7.343394754759646,6.607261735388297,7.499999999999998,8.412457431040501,1.225,Farm,104846.2036,102603.2199,0.8176159146898136
T27,14655.118623325987,13950.02747603231,12390.665028546204,12390.665028546204,12390.665028546204,11803.987606427643,11803.987606427643,7.343394754759646,6.5591562598876205,7.499999999999998,8.497714759666465,1.225,Farm,96486.22663,101317.2539,0.8054515224216399
T28,14655.118623325987,13937.14666010064,11557.792339693367,11557.792339693367,11557.792339693367,11405.656576560401,11405.656576560401,7.343394754759646,6.4353844860252085,7.499999999999998,8.62794448543118,1.225,Farm,102020.7131,100500.5984,0.7782711876795358
T29,14655.118623325987,13936.748431662827,11768.857952749886,11768.857952749886,11768.857952749886,11550.08190898951,11550.08190898951,7.343394754759646,6.483598192124021,7.499999999999998,8.578507801694485,1.225,Farm,98441.05445,100242.4989,0.7881261288875335
T30,14655.118623325987,13934.984038926625,11532.757635844811,11532.757635844811,11532.757635844811,11410.87750967487,11410.87750967487,7.343394754759646,6.438026579681887,7.499999999999998,8.628127771952661,1.225,Farm,104083.861,101411.7375,0.778627440893765
