turbineName,grossAnnualYield_MWh_per_year,blockageOnAnnualYield_MWh_per_year,internalWakesOnAnnualYield_MWh_per_year,hysteresisAdjustmentOnAnnualYield_MWh_per_year,largeWindFarmCorrectionOnAnnualYield_MWh_per_year,neighborsWakesOnAnnualYield_MWh_per_year,fullAnnualYield_MWh_per_year,freeMeanWindSpeed_m_per_s,fullMeanWindSpeed_m_per_s,ambientMeanTurbulenceIntensity_percentage,fullMeanTurbulenceIntensity_percentage,airDensityAtHubHeight_kg_per_m3,farm_name,easting,northing,turbineInteractionEfficiency
T39,14655.118623325987,13955.351689791638,12467.956204628657,12467.956204628657,12467.956204628657,11678.350196023855,11678.350196023855,7.343394754759646,6.52603136717167,7.499999999999998,8.54844870353199,1.225,Farm,95581.83461,101018.9576,0.7968785853043779
T40,14655.118623325987,13941.116000910932,11592.20741240213,11592.20741240213,11592.20741240213,11457.524911953797,11457.524911953797,7.343394754759646,6.4533178810289655,7.499999999999998,8.610681413848953,1.225,Farm,101699.5479,99607.37226,0.7818104517910416
T41,14655.118623325987,13940.719410375737,11862.26357389833,11862.26357389833,11862.26357389833,11653.523849948853,11653.523849948853,7.343394754759646,6.510240020121661,7.499999999999998,8.548485191754056,1.225,Farm,97685.26491,99675.93152,0.7951845460602679
T42,14655.118623325987,13936.368203362974,11490.578945751744,11490.578945751744,11490.578945751744,11337.243257972064,11337.243257972064,7.343394754759646,6.414204058261106,7.499999999999998,8.652880313721262,1.225,Farm,104064.8956,100469.8368,0.7736029676298226
T44,14655.118623325987,13935.349484164453,11655.062703416887,11655.062703416887,11655.062703416887,11510.1099709564,11510.1099709564,7.343394754759646,6.469942752723401,7.499999999999998,8.59165171889372,1.225,Farm,100180.4718,99130.96525,0.7853986219283277
T45,14655.118623325987,13944.83709819316,12000.516940120573,12000.516940120573,12000.516940120573,11891.640963203052,11891.640963203052,7.343394754759646,6.577764930519296,7.499999999999998,8.433180553688336,1.225,Farm,106030.2378,102134.4975,0.8114325969545948
T46,14655.118623325987,13944.52311252006,12220.535505813126,12220.535505813126,12220.535505813126,11681.237170314564,11681.237170314564,7.343394754759646,6.515175264744196,7.499999999999998,8.558744552298839,1.225,Farm,96129.01485,100102.2472,0.7970755795672639
T47,14655.118623325987,13933.512694650437,11406.063534326082,11406.063534326082,11406.063534326082,11296.239471153094,11296.239471153094,7.343394754759646,6.406229163815692,7.499999999999998,8.665316691975756,1.225,Farm,102766.8187,99489.95314,0.7708050519067997
T49,14655.118623325987,13940.074584060161,11768.578931540043,11768.578931540043,11768.578931540043,11582.953003074845,11582.953003074845,7.343394754759646,6.49162092992038,7.499999999999998,8.56879738667795,1.225,Farm,98537.63349,99006.3215,0.7903691058930568
T50,14655.118623325987,13934.963089661946,11652.523938956841,11652.523938956841,11652.523938956841,11505.754429989982,11505.754429989982,7.343394754759646,6.459462797232096,7.499999999999998,8.582802027293177,1.225,Farm,105119.2495,100746.6327,0.7851014192185873
